run_id,program_name,eval_name,test_accuracy,models,methods,n_methods,uses_training,summary,used_dinov2,used_clip,prompt_tokens,completion_tokens,total_tokens,backbone_bucket
0016_0661fa2a,program_step0016_0661fa2a.py,eval_step0016_0661fa2a.json,0.652127659574468,"['DINOv2', 'ViT']","['shrinkage LDA', 'transductive nearest-class-mean', 'prototype refinement', 'soft pseudo-labeling', 'multi-view averaging', 'deterministic feature extraction']",6,yes,"This program implements a semi-supervised learning approach using a transductive nearest-class-mean classifier in a low-dimensional subspace learned by shrinkage LDA. It refines class prototypes using confidence-weighted unlabeled data while stabilizing feature extraction through multi-view averaging of frozen DINOv2 features. The method is designed to maximize class separation with limited labeled data, making it robust under tiny-data conditions.",True,False,4403,153,4556,DINOv2 only
0017_fcabbd07,program_step0017_fcabbd07.py,eval_step0017_fcabbd07.json,0.6420212765957447,"['DINOv2', 'ViT']","['multi-view feature extraction', 'shrinkage LDA', 'prototype refinement', 'transductive calibration', 'cosine-prototype classifier', 'soft assignments', 'class prior estimation', 'per-class spread normalization']",8,yes,"The program enhances a frozen DINOv2 model by incorporating a transductive calibration step to improve class distribution balance in predictions. It utilizes multi-view feature extraction and shrinkage LDA for dimensionality reduction, followed by prototype refinement using unlabeled data. The calibration process estimates class-frequency priors and variance normalization to adjust predictions without altering the underlying classifier architecture. This approach aims to maintain computational efficiency while improving classification accuracy across multiple texture categories.",True,False,5374,166,5540,DINOv2 only
0018_11649f07,program_step0018_11649f07.py,eval_step0018_11649f07.json,0.6526595744680851,['DINOv2'],"['multi-view feature extraction', 'shrinkage-LDA projection', 'class-balance-constrained pseudo-label refinement', 'confidence-based pseudo-labeling', 'prototype refinement', 'temperature-scaled cosine probabilities', 'confidence-weighted means']",7,yes,The program implements a semi-supervised learning approach using a frozen DINOv2 backbone for feature extraction. It enhances the existing pipeline by introducing a class-balance-constrained pseudo-label refinement method to prevent prototype drift caused by dominant texture classes. The method employs shrinkage-LDA for projection and refines class prototypes based on confidence-weighted means from both labeled and unlabeled data. The goal is to improve robustness while maintaining runtime efficiency.,True,False,4701,164,4865,DINOv2 only
0019_2e2ff98a,program_step0019_2e2ff98a.py,eval_step0019_2e2ff98a.json,0.575,['DINOv2'],"['semi-supervised learning', 'Laplacian regularization', 'cross-entropy loss', 'entropy minimization', 'PCA whitening', 'cosine normalization', 'multi-view augmentation']",7,yes,"This program implements a semi-supervised learning approach using Laplacian-regularized logistic regression on frozen DINOv2 features. It optimizes a discriminative classifier trained on both labeled and unlabeled data, leveraging manifold regularization to improve predictions. The method incorporates techniques such as PCA whitening for noise reduction and multi-view augmentation for robust feature extraction. The classifier is trained efficiently with a focus on data scarcity, making it suitable for scenarios with limited labeled data.",True,False,4450,161,4611,DINOv2 only
0020_5ef7dfc8,program_step0020_5ef7dfc8.py,eval_step0020_5ef7dfc8.json,0.31542553191489364,"['DINOv2', 'ViT']","['transductive label propagation', 'whitening', 'kNN graph', 'Gaussian modeling', 'multi-view averaging', 'pseudo-labeling', 'confidence-weighted statistics']",7,yes,"This program implements a semi-supervised learning approach using transductive class-conditional Gaussian label propagation with features extracted from a frozen DINOv2 model. It utilizes a multi-view feature extraction strategy to enhance robustness and employs a kNN graph for label propagation, leveraging both labeled and unlabeled data. The final classification is performed using Gaussian log-likelihood, allowing for flexible modeling of class distributions.",True,False,4219,148,4367,DINOv2 only
0021_ed742f1f,program_step0021_ed742f1f.py,eval_step0021_ed742f1f.json,0.622872340425532,['DINOv2'],"['transductive semi-supervised learning', 'Gaussian mixture model', 'class-balanced NCA', 'anchored EM', 'multi-view feature extraction', 'Mahalanobis embedding', 'variance shrinkage', 'data standardization', 'metric learning']",9,yes,The program implements a transductive semi-supervised learning approach using frozen DINOv2 features to classify images. It replaces traditional classifiers with a Gaussian mixture model that leverages a compact supervised Mahalanobis embedding learned from a small set of labeled samples. The method employs anchored EM to refine class densities using both labeled and unlabeled data while maintaining label constraints. This approach is designed to be data-efficient and effective for texture recognition tasks.,True,False,5346,167,5513,DINOv2 only
0022_37db4f45,program_step0022_37db4f45.py,eval_step0022_37db4f45.json,0.47393617021276596,['DINOv2'],"['transductive label diffusion', 'whitening', 'kNN graph', 'Gaussian RBF initialization', 'multi-view feature averaging', 'PCA', 'class-balance correction', 'iterative diffusion']",8,no,"The program implements a transductive Gaussian label-diffusion classifier using a frozen DINOv2 backbone. It leverages a whitening transform to enhance feature representation and utilizes a kNN affinity graph for label diffusion. The method is designed to efficiently propagate labels through local neighborhoods in the feature space, making it suitable for small-sample conditions. The approach avoids end-to-end fine-tuning, maintaining computational efficiency while improving classification performance.",True,False,5266,158,5424,DINOv2 only
0023_346b653a,program_step0023_346b653a.py,eval_step0023_346b653a.json,0.4031914893617021,"['DINOv2 ViT-B/14', 'CLIP ViT-B/16']","['transductive pseudo-labeling', 'class-balanced optimal transport', 'entropy-regularized Sinkhorn scaling', 'quadratic scoring', 'multi-view feature extraction', 'covariance whitening', 'L2-normalization', 'feature standardization']",8,yes,"This program implements a semi-supervised learning approach using transductive class-balanced optimal transport for pseudo-labeling on frozen DINOv2 and CLIP features. It incorporates entropy-regularized Sinkhorn scaling to produce soft pseudo-labels while maintaining class balance. The method estimates class-specific covariances and employs quadratic scoring for classification, enhancing robustness across diverse texture classes. The program aims to leverage unlabeled data effectively while minimizing pseudo-label collapse.",True,True,5654,182,5836,Both
0025_afca2dd9,program_step0025_afca2dd9.py,eval_step0025_afca2dd9.json,0.597872340425532,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'prototype refinement', 'whitening', 'cosine similarity', 'Sinkhorn balancing']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It extracts features from labeled and unlabeled images, applies multi-view augmentations, and refines class prototypes through a Sinkhorn balancing method. The model is designed to improve classification accuracy by leveraging both labeled and unlabeled data effectively.",True,False,5052,133,5185,DINOv2 only
0027_1e101719,program_step0027_1e101719.py,eval_step0027_1e101719.json,0.6154255319148936,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'whitening', 'logistic regression', 'soft prototypes', 'graph-based diffusion', 'KNN', 'feature extraction']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and a graph-based diffusion method to enhance feature representation. The model is trained with labeled and unlabeled data, utilizing logistic regression for classification and soft prototypes for improved accuracy. The program is designed to efficiently handle image datasets and predict categories for new images.",True,False,4480,151,4631,DINOv2 only
0028_4b1bbe76,program_step0028_4b1bbe76.py,eval_step0028_4b1bbe76.json,0.575,"['DINOv2', 'ViT']","['transductive optimal transport', 'Gaussian metric scoring', 'PCA', 'multi-view augmentation', 'pseudo-labeling', 'entropic OT', 'shrinkage regularization']",7,yes,"The program implements a transductive class-conditional optimal transport method using frozen DINOv2 features for classification. It incorporates unlabeled data through a balanced assignment mechanism, leveraging Gaussian scoring for class metrics. The approach is designed to handle texture datasets with many similar classes, preventing overconfident predictions. The model is trained using a combination of labeled and pseudo-labeled data, with a focus on maintaining class diversity.",True,False,5189,154,5343,DINOv2 only
0029_d117ed95,program_step0029_d117ed95.py,eval_step0029_d117ed95.json,0.5579787234042554,"['DINOv2', 'ViT']","['transductive learning', 'Gaussian mixture model', 'EM algorithm', 'PCA', 'multi-view feature averaging', 'covariance whitening', 'semi-supervised learning']",7,no,"This program implements a transductive class-conditional Gaussian mixture classifier to improve classification performance by modeling intra-class multimodality. It leverages a small mixture of components initialized from labeled samples and refined using unlabeled data through a conservative EM algorithm. The approach incorporates covariance whitening and PCA for feature extraction, along with multi-view feature averaging to enhance stability. The implementation is designed to work with a frozen DINOv2 backbone for feature extraction.",True,False,5703,157,5860,DINOv2 only
0031_b3f771a8,program_step0031_b3f771a8.py,eval_step0031_b3f771a8.json,0.5882978723404255,"['ViT', 'DINOv2']","['self-training', 'metric learning', 'pseudo-labeling', 'label smoothing', 'multi-view augmentation', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 for feature extraction. It employs self-training with pseudo-labeling to leverage unlabeled data, alongside metric learning for feature projection. The model is fine-tuned using a linear classifier with label smoothing and multi-view augmentations to improve performance on classification tasks.",True,False,5699,135,5834,DINOv2 only
0032_2db5cca3,program_step0032_2db5cca3.py,eval_step0032_2db5cca3.json,0.5670212765957446,"['DINOv2', 'CLIP']","['transductive mixture-of-experts', 'kNN classification', 'covariance shrinkage', 'MiniBatchKMeans', 'multi-view feature extraction', 'soft class anchors', 'cross-backbone fusion']",7,no,"This program implements a transductive mixture-of-experts classifier using two frozen backbone models, DINOv2 and CLIP, to leverage complementary visual and semantic features. It extracts multi-view features and applies a nonparametric classification approach using kNN and soft class anchors derived from unlabeled data. The method focuses on efficient feature extraction and decision geometry reshaping without training heavy parametric heads, making it suitable for scenarios with limited labeled data.",True,True,5299,165,5464,Both
0033_abafd147,program_step0033_abafd147.py,eval_step0033_abafd147.json,0.6111702127659574,"['DINOv2', 'ViT']","['transductive learning', 'Gaussian classifier', 'PLS', 'covariance adaptation', 'multi-view averaging', 'soft assignments', 'variance adaptation']",7,yes,"The program implements a transductive class-conditional covariance Gaussian classifier using a compact supervised subspace learned by regularized Partial Least Squares (PLS). It adapts class variances and priors using unlabeled data while retaining frozen DINOv2 features for strong representation quality. The approach is designed to be data-efficient, particularly for texture categories, by leveraging only a few labeled samples per class.",True,False,5025,145,5170,DINOv2 only
0034_94fb47aa,program_step0034_94fb47aa.py,eval_step0034_94fb47aa.json,0.23404255319148937,"['CLIP', 'DINOv2']","['dual-backbone', 'class-balanced weighting', 'Laplacian regularization', 'deterministic multi-view averaging', 'regularized LDA', 'weighted cross-entropy', 'entropy minimization']",7,yes,This program implements a dual-backbone classification approach using CLIP and DINOv2 for texture recognition. It combines features from both models to enhance robustness while avoiding expensive finetuning. The method employs a Laplacian-regularized logistic regression classifier with a focus on class balance and smoothness over labeled and unlabeled data. The training strategy emphasizes data efficiency and stability through techniques like multi-view averaging and regularized LDA.,True,True,4884,162,5046,Both
0035_c77976bb,program_step0035_c77976bb.py,eval_step0035_c77976bb.json,0.5047872340425532,['DINOv2'],"['transductive semi-supervised learning', 'Laplacian regularization', 'multi-view feature extraction', 'whitening', 'kNN graph', 'cross-entropy loss', 'entropy minimization', 'Laplacian smoothness', 'AdamW optimization', 'prototype classification']",10,yes,"The program implements a semi-supervised learning approach using a frozen DINOv2 backbone to classify images. It combines a Laplacian-regularized logistic regression with a prototype classifier to leverage both labeled and unlabeled data effectively. The method includes multi-view feature extraction, whitening for improved feature quality, and a kNN graph for enforcing smoothness in predictions. The final model is an ensemble of the linear classifier and prototype classifier, aimed at enhancing classification performance with limited labeled data.",True,False,5048,185,5233,DINOv2 only
0036_00ddfe48,program_step0036_00ddfe48.py,eval_step0036_00ddfe48.json,0.5601063829787234,['DINOv2'],"['transductive Gaussian-mixture classifier', 'supervised whitening', 'Dirichlet prior correction', 'covariance adaptation', 'transductive EM', 'multi-view feature extraction']",6,yes,"This program implements a transductive Gaussian-mixture classifier using a frozen DINOv2 backbone for a semi-supervised learning task. It focuses on adapting the model to unlabeled data through a novel approach that includes supervised whitening and Dirichlet prior correction. The method aims to improve classification accuracy on a challenging texture dataset by modeling per-class spread and ensuring balanced class priors. The program efficiently processes features without retraining the backbone, leveraging a small labeled dataset alongside a larger unlabeled set.",True,False,4703,166,4869,DINOv2 only
0037_3a185d54,program_step0037_3a185d54.py,eval_step0037_3a185d54.json,0.5851063829787234,"['DINOv2', 'ViT']","['transductive Gaussian mixture classifier', 'PCA whitening', 'EM procedure', 'class-balance regularization', 'covariance adaptation', 'multi-view augmentation']",6,yes,"The program implements a semi-supervised classification agent that utilizes a transductive Gaussian mixture classifier in a PCA-whitened feature space. It leverages a small number of labeled examples and a larger set of unlabeled data to estimate class densities through an EM procedure, while applying various regularization techniques to maintain class balance. The model employs DINOv2 features and incorporates multi-view augmentations to enhance performance and stability.",True,False,4939,151,5090,DINOv2 only
0039_57b8c5d8,program_step0039_57b8c5d8.py,eval_step0039_57b8c5d8.json,0.6324468085106383,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'projector training', 'PCA', 'harmonic propagation', 'prototype densification', 'anchor selection', 'label smoothing']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations for both labeled and unlabeled data, trains a metric projector, and utilizes harmonic propagation for label propagation. The model is designed to enhance classification accuracy by leveraging both labeled and unlabeled samples through various techniques such as prototype densification and anchor selection.",True,False,5718,151,5869,DINOv2 only
0040_f8f88414,program_step0040_f8f88414.py,eval_step0040_f8f88414.json,0.65,"['DINOv2', 'ViT']","['transductive label propagation', 'class-balanced Laplacian adaptation', 'shrinkage whitening', 'PCA', 'kNN graph', 'cosine similarity', 'multi-view averaging', 'local evidence mixture']",8,yes,This program implements a semi-supervised learning approach using a frozen DINOv2 model as a feature extractor. It employs a transductive mechanism with class-balanced Laplacian prototype adaptation to improve label propagation and classification accuracy. The method includes techniques such as shrinkage whitening and PCA to stabilize feature geometry and reduce noise. The final predictions are made by combining scores from adapted prototypes and local evidence from unlabeled samples.,True,False,5511,161,5672,DINOv2 only
0042_f4c8b71d,program_step0042_f4c8b71d.py,eval_step0042_f4c8b71d.json,0.5228723404255319,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'cosine head', 'whitening', 'spherical k-means', 'center supervision', 'Laplacian loss', 'consistency loss', 'entropy loss']",9,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and various loss functions, including consistency and Laplacian losses, to enhance model training. The model is trained on both labeled and unlabeled data, utilizing techniques like spherical k-means for clustering and center supervision for improved classification accuracy.",True,False,6046,158,6204,DINOv2 only
0046_b8f70eda,program_step0046_b8f70eda.py,eval_step0046_b8f70eda.json,0.5180851063829788,"['ViT', 'DINOv2']","['transductive learning', 'multi-view augmentation', 'PCA', 'graph-based methods', 'pseudo-labeling', 'consistency regularization']",6,yes,This program implements a transductive learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and graph-based methods to enhance the learning from both labeled and unlabeled data. The model utilizes PCA for dimensionality reduction and incorporates pseudo-labeling techniques to improve classification accuracy. The training process is designed to be efficient and effective in leveraging limited labeled data.,True,False,6332,149,6481,DINOv2 only
0048_70bff3b3,program_step0048_70bff3b3.py,eval_step0048_70bff3b3.json,0.33297872340425533,"['ViT', 'DINOv2']","['semi-supervised learning', 'mixup', 'label smoothing', 'consistency loss', 'pseudo-labeling', 'data augmentation', 'exponential moving average', 'self-supervised contrastive loss']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 for image classification. It employs a combination of labeled and unlabeled data, utilizing techniques such as mixup, label smoothing, and consistency loss to enhance model performance. The training process includes an exponential moving average of model weights and a robust evaluation transform for inference.",True,False,5030,150,5180,DINOv2 only
0049_9d32ab27,program_step0049_9d32ab27.py,eval_step0049_9d32ab27.json,0.5058510638297873,"['DINOv2', 'ViT']","['self-supervised learning', 'transductive learning', 'Gaussian mixture model', 'PCA whitening', 'multi-view feature averaging', 'confidence-weighted updates', 'class-balance regularization']",7,yes,"This program implements a transductive class-conditional Gaussian-mixture classifier in a self-supervised whitening space, utilizing both labeled and unlabeled data. It replaces a previous LDA-based approach with a more robust method that adapts class covariances using confident unlabeled assignments. The program employs DINOv2 features and incorporates techniques like PCA whitening and multi-view feature averaging to enhance texture recognition. The goal is to improve classification accuracy, especially in scenarios with limited labeled data.",True,False,5078,170,5248,DINOv2 only
0050_52344537,program_step0050_52344537.py,eval_step0050_52344537.json,0.3840425531914894,"['ViT', 'DINOv2']","['semi-supervised learning', 'label propagation', 'multi-view augmentation', 'PCA whitening', 'soft cross-entropy', 'linear classification head', 'AdamW optimizer']",7,yes,"This program implements a semi-supervised learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It employs label propagation to leverage unlabeled data, multi-view augmentations for improved feature extraction, and a linear classification head for final predictions. The model is trained using a combination of labeled and pseudo-labeled data, optimizing the loss through a soft cross-entropy approach.",True,False,4314,151,4465,DINOv2 only
0051_0e69a458,program_step0051_0e69a458.py,eval_step0051_0e69a458.json,0.5404255319148936,['DINOv2'],"['transductive learning', 'local-subspace reconstruction', 'manifold-based classification', 'PCA', 'whitening', 'multi-view augmentation', 'pseudo-labeling', 'class-specific neighbor recruitment']",8,yes,"This program implements a transductive local-subspace reconstruction classifier using frozen DINOv2 features. It models each class as a low-rank affine subspace, leveraging a few labeled examples and confidently recruited unlabeled neighbors. The method incorporates a conservative recruitment strategy for unlabeled data, improving robustness and capturing intra-class variability. The approach remains efficient through closed-form linear algebra optimizations.",True,False,5574,148,5722,DINOv2 only
0053_7360658d,program_step0053_7360658d.py,eval_step0053_7360658d.json,0.5952127659574468,"['ViT', 'DINOv2']","['semi-supervised learning', 'PCA whitening', 'multi-view augmentation', 'Gaussian modeling', 'pseudo-labeling', 'consistency objectives']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs PCA whitening for feature extraction and utilizes Gaussian modeling for class distributions. The training process includes multi-view augmentations and pseudo-labeling to enhance performance on unlabeled data. The model is designed to refine its predictions iteratively, improving accuracy through a series of updates.",True,False,5720,142,5862,DINOv2 only
0054_071e0e85,program_step0054_071e0e85.py,eval_step0054_071e0e85.json,0.6579787234042553,"['DINOv2', 'CLIP']","['transductive mixture-of-views', 'frozen feature extraction', 'shrinkage-LDA', 'prototype refinement', 'cosine logits', 'multi-view augmentation', 'confidence-weighted assignments']",7,yes,"This program implements a transductive mixture-of-views classifier that leverages the complementary features of two frozen backbones, DINOv2 and CLIP, for improved texture recognition. It extracts multi-view features, applies shrinkage-LDA for dimensionality reduction, and refines class prototypes using both labeled and unlabeled data. The final predictions are made by fusing cosine logits from both backbones, ensuring efficient and accurate classification even with limited labeled data.",True,True,5206,167,5373,Both
0055_ba585848,program_step0055_ba585848.py,eval_step0055_ba585848.json,0.5723404255319149,"['DINOv2', 'ViT']","['transductive learning', 'PCA whitening', 'self-training', 'pseudo-labeling', 'multi-view feature averaging', 'local linear subspace classification', 'cosine similarity', 'residual scoring']",8,yes,"The program implements a transductive local-subspace classifier using a frozen DINOv2 backbone for feature extraction. It combines labeled and unlabeled data to build a PCA-whitened feature space, enhancing the geometry for texture categories. The method employs self-training with margin-based pseudo-labeling to iteratively refine class prototypes and subspaces, aiming to improve classification accuracy with minimal labeled data. The approach is designed to efficiently utilize unlabeled samples while maintaining robust performance.",True,False,5390,169,5559,DINOv2 only
0057_31978197,program_step0057_31978197.py,eval_step0057_31978197.json,0.5872340425531914,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'feature whitening', 'pseudo-labeling', 'nearest neighbor classification', 'leave-one-out accuracy']",6,yes,This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and a feature whitening technique to enhance the model's performance. The approach includes pseudo-labeling for unlabeled data and utilizes nearest neighbor classification for predictions. The model is designed to handle both labeled and unlabeled datasets effectively.,True,False,4696,139,4835,DINOv2 only
0058_5a0d52fd,program_step0058_5a0d52fd.py,eval_step0058_5a0d52fd.json,0.6276595744680851,['DINOv2'],"['deterministic multi-view feature averaging', 'transductive classifier', 'supervised local tangent-space smoothing', 'unlabeled manifold partitioning', 'class-aware spectral co-regularization', 'Nyström-style kernel ridge classifier', 'joint PCA whitening', 'sparse affinity graph', 'spectral embedding', 'supervised spectral reweighting', 'soft unlabeled class assignments', 'anchor selection', 'kernel ridge regression']",13,yes,This program implements a semi-supervised learning approach using a frozen DINOv2 backbone to extract features from labeled and unlabeled texture images. It combines various techniques such as spectral co-regularization and kernel ridge regression to create a robust transductive classifier. The method emphasizes data efficiency by leveraging a small number of labeled samples and effectively utilizing unlabeled data through sophisticated feature processing and assignment strategies.,True,False,5711,212,5923,DINOv2 only
0059_4308466f,program_step0059_4308466f.py,eval_step0059_4308466f.json,0.5611702127659575,"['DINOv2', 'ViT']","['deterministic multi-view feature averaging', 'transductive semi-supervised learning', 'Laplacian-regularized least squares', 'posterior sharpening', 'class-balanced prior correction', 'PCA-whitening', 'farthest-point sampling', 'anchor-graph manifold regularization']",8,yes,"This program implements a semi-supervised learning approach using a frozen DINOv2 backbone and a transductive classifier based on Laplacian-regularized least squares. It leverages deterministic multi-view feature averaging and anchor-graph manifold regularization to effectively utilize both labeled and unlabeled data. The method includes posterior sharpening and class-balanced prior correction to enhance classification performance, particularly in scenarios with limited labeled samples.",True,False,5921,176,6097,DINOv2 only
0060_e92691e9,program_step0060_e92691e9.py,eval_step0060_e92691e9.json,0.6388297872340426,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'knowledge distillation', 'prototype refinement', 'label smoothing', 'mixup', 'LDA', 'cosine similarity']",8,yes,This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and knowledge distillation to train a student model while refining prototypes for improved classification. The approach includes techniques such as label smoothing and mixup to enhance model robustness and performance on both labeled and unlabeled data.,True,False,6593,142,6735,DINOv2 only
