run_id,program_name,eval_name,test_accuracy,models,methods,n_methods,uses_training,summary,used_dinov2,used_clip,prompt_tokens,completion_tokens,total_tokens,llm_cost,backbone_bucket,methods_canonical,n_methods_canonical
0016_0661fa2a,program_step0016_0661fa2a.py,eval_step0016_0661fa2a.json,0.652127659574468,"['DINOv2', 'ViT']","['shrinkage LDA', 'transductive nearest-class-mean', 'prototype refinement', 'soft pseudo-labeling', 'multi-view averaging', 'deterministic feature extraction']",6,yes,"This program implements a semi-supervised learning approach using a transductive nearest-class-mean classifier in a low-dimensional subspace learned by shrinkage LDA. It refines class prototypes using confidence-weighted unlabeled data while stabilizing feature extraction through multi-view averaging of frozen DINOv2 features. The method is designed to maximize class separation with limited labeled data, making it robust under tiny-data conditions.",True,False,4403,153,4556,0.005516500000000001,DINOv2 only,"['deterministic feature extract', 'multi view augmentation', 'prototype methods', 'pseudo-labeling', 'shrinkage lda', 'transductive nearest class mean']",6
0017_fcabbd07,program_step0017_fcabbd07.py,eval_step0017_fcabbd07.json,0.6420212765957447,"['DINOv2', 'ViT']","['multi-view feature extraction', 'shrinkage LDA', 'prototype refinement', 'transductive calibration', 'cosine-prototype classifier', 'soft assignments', 'class prior estimation', 'per-class spread normalization']",8,yes,"The program enhances a frozen DINOv2 model by incorporating a transductive calibration step to improve class distribution balance in predictions. It utilizes multi-view feature extraction and shrinkage LDA for dimensionality reduction, followed by prototype refinement using unlabeled data. The calibration process estimates class-frequency priors and variance normalization to adjust predictions without altering the underlying classifier architecture. This approach aims to maintain computational efficiency while improving classification accuracy across multiple texture categories.",True,False,5374,166,5540,0.006641800000000001,DINOv2 only,"['class prior estimation', 'cosine prototype classifier', 'multi view feature extract', 'per class spread normalization', 'prototype methods', 'shrinkage lda', 'soft assignments', 'transductive learning']",8
0018_11649f07,program_step0018_11649f07.py,eval_step0018_11649f07.json,0.6526595744680851,['DINOv2'],"['multi-view feature extraction', 'shrinkage-LDA projection', 'class-balance-constrained pseudo-label refinement', 'confidence-based pseudo-labeling', 'prototype refinement', 'temperature-scaled cosine probabilities', 'confidence-weighted means']",7,yes,The program implements a semi-supervised learning approach using a frozen DINOv2 backbone for feature extraction. It enhances the existing pipeline by introducing a class-balance-constrained pseudo-label refinement method to prevent prototype drift caused by dominant texture classes. The method employs shrinkage-LDA for projection and refines class prototypes based on confidence-weighted means from both labeled and unlabeled data. The goal is to improve robustness while maintaining runtime efficiency.,True,False,4701,164,4865,0.005892700000000001,DINOv2 only,"['class balance constrained pseudo label refinement', 'confidence weighted updates', 'multi view feature extract', 'prototype methods', 'pseudo-labeling', 'shrinkage lda', 'temperature scaled cosine probabilities']",7
0019_2e2ff98a,program_step0019_2e2ff98a.py,eval_step0019_2e2ff98a.json,0.575,['DINOv2'],"['semi-supervised learning', 'Laplacian regularization', 'cross-entropy loss', 'entropy minimization', 'PCA whitening', 'cosine normalization', 'multi-view augmentation']",7,yes,"This program implements a semi-supervised learning approach using Laplacian-regularized logistic regression on frozen DINOv2 features. It optimizes a discriminative classifier trained on both labeled and unlabeled data, leveraging manifold regularization to improve predictions. The method incorporates techniques such as PCA whitening for noise reduction and multi-view augmentation for robust feature extraction. The classifier is trained efficiently with a focus on data scarcity, making it suitable for scenarios with limited labeled data.",True,False,4450,161,4611,0.0056034,DINOv2 only,"['consistency regularization', 'cross entropy loss', 'entropy minimization', 'feature normalization', 'multi view augmentation', 'pca / whitening', 'semi-supervised learning']",7
0020_5ef7dfc8,program_step0020_5ef7dfc8.py,eval_step0020_5ef7dfc8.json,0.31542553191489364,"['DINOv2', 'ViT']","['transductive label propagation', 'whitening', 'kNN graph', 'Gaussian modeling', 'multi-view averaging', 'pseudo-labeling', 'confidence-weighted statistics']",7,yes,"This program implements a semi-supervised learning approach using transductive class-conditional Gaussian label propagation with features extracted from a frozen DINOv2 model. It utilizes a multi-view feature extraction strategy to enhance robustness and employs a kNN graph for label propagation, leveraging both labeled and unlabeled data. The final classification is performed using Gaussian log-likelihood, allowing for flexible modeling of class distributions.",True,False,4219,148,4367,0.0052921,DINOv2 only,"['confidence weighted updates', 'gaussian mixture modeling', 'label propagation / graph methods', 'multi view augmentation', 'pca / whitening', 'pseudo-labeling']",6
0021_ed742f1f,program_step0021_ed742f1f.py,eval_step0021_ed742f1f.json,0.622872340425532,['DINOv2'],"['transductive semi-supervised learning', 'Gaussian mixture model', 'class-balanced NCA', 'anchored EM', 'multi-view feature extraction', 'Mahalanobis embedding', 'variance shrinkage', 'data standardization', 'metric learning']",9,yes,The program implements a transductive semi-supervised learning approach using frozen DINOv2 features to classify images. It replaces traditional classifiers with a Gaussian mixture model that leverages a compact supervised Mahalanobis embedding learned from a small set of labeled samples. The method employs anchored EM to refine class densities using both labeled and unlabeled data while maintaining label constraints. This approach is designed to be data-efficient and effective for texture recognition tasks.,True,False,5346,167,5513,0.0066154000000000004,DINOv2 only,"['anchored em', 'class balanced nca', 'data standardization', 'gaussian mixture modeling', 'mahalanobis distance', 'metric learning', 'multi view feature extract', 'semi-supervised learning', 'variance shrinkage']",9
0022_37db4f45,program_step0022_37db4f45.py,eval_step0022_37db4f45.json,0.47393617021276596,['DINOv2'],"['transductive label diffusion', 'whitening', 'kNN graph', 'Gaussian RBF initialization', 'multi-view feature averaging', 'PCA', 'class-balance correction', 'iterative diffusion']",8,no,"The program implements a transductive Gaussian label-diffusion classifier using a frozen DINOv2 backbone. It leverages a whitening transform to enhance feature representation and utilizes a kNN affinity graph for label diffusion. The method is designed to efficiently propagate labels through local neighborhoods in the feature space, making it suitable for small-sample conditions. The approach avoids end-to-end fine-tuning, maintaining computational efficiency while improving classification performance.",True,False,5266,158,5424,0.0064878,DINOv2 only,"['class balance regularization', 'gaussian rbf initialization', 'label propagation / graph methods', 'multi view feature extract', 'pca / whitening', 'transductive label diffusion']",6
0023_346b653a,program_step0023_346b653a.py,eval_step0023_346b653a.json,0.4031914893617021,"['DINOv2 ViT-B/14', 'CLIP ViT-B/16']","['transductive pseudo-labeling', 'class-balanced optimal transport', 'entropy-regularized Sinkhorn scaling', 'quadratic scoring', 'multi-view feature extraction', 'covariance whitening', 'L2-normalization', 'feature standardization']",8,yes,"This program implements a semi-supervised learning approach using transductive class-balanced optimal transport for pseudo-labeling on frozen DINOv2 and CLIP features. It incorporates entropy-regularized Sinkhorn scaling to produce soft pseudo-labels while maintaining class balance. The method estimates class-specific covariances and employs quadratic scoring for classification, enhancing robustness across diverse texture classes. The program aims to leverage unlabeled data effectively while minimizing pseudo-label collapse.",True,True,5654,182,5836,0.007020200000000001,Both,"['class balanced optimal transport', 'entropy regularized sinkhorn scaling', 'feature normalization', 'multi view feature extract', 'pca / whitening', 'quadratic scoring', 'transductive pseudo label']",7
0025_afca2dd9,program_step0025_afca2dd9.py,eval_step0025_afca2dd9.json,0.597872340425532,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'prototype refinement', 'whitening', 'cosine similarity', 'Sinkhorn balancing']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It extracts features from labeled and unlabeled images, applies multi-view augmentations, and refines class prototypes through a Sinkhorn balancing method. The model is designed to improve classification accuracy by leveraging both labeled and unlabeled data effectively.",True,False,5052,133,5185,0.006142400000000001,DINOv2 only,"['cosine similarity', 'multi view augmentation', 'pca / whitening', 'prototype methods', 'semi-supervised learning', 'sinkhorn balancing']",6
0027_1e101719,program_step0027_1e101719.py,eval_step0027_1e101719.json,0.6154255319148936,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'whitening', 'logistic regression', 'soft prototypes', 'graph-based diffusion', 'KNN', 'feature extraction']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and a graph-based diffusion method to enhance feature representation. The model is trained with labeled and unlabeled data, utilizing logistic regression for classification and soft prototypes for improved accuracy. The program is designed to efficiently handle image datasets and predict categories for new images.",True,False,4480,151,4631,0.0055924,DINOv2 only,"['graph based diffusion', 'knn', 'logistic regression', 'multi view augmentation', 'multi view feature extract', 'pca / whitening', 'semi-supervised learning', 'soft prototypes']",8
0028_4b1bbe76,program_step0028_4b1bbe76.py,eval_step0028_4b1bbe76.json,0.575,"['DINOv2', 'ViT']","['transductive optimal transport', 'Gaussian metric scoring', 'PCA', 'multi-view augmentation', 'pseudo-labeling', 'entropic OT', 'shrinkage regularization']",7,yes,"The program implements a transductive class-conditional optimal transport method using frozen DINOv2 features for classification. It incorporates unlabeled data through a balanced assignment mechanism, leveraging Gaussian scoring for class metrics. The approach is designed to handle texture datasets with many similar classes, preventing overconfident predictions. The model is trained using a combination of labeled and pseudo-labeled data, with a focus on maintaining class diversity.",True,False,5189,154,5343,0.0063855000000000006,DINOv2 only,"['entropic ot', 'gaussian mixture modeling', 'multi view augmentation', 'pca / whitening', 'pseudo-labeling', 'shrinkage regularization', 'transductive optimal transport']",7
0029_d117ed95,program_step0029_d117ed95.py,eval_step0029_d117ed95.json,0.5579787234042554,"['DINOv2', 'ViT']","['transductive learning', 'Gaussian mixture model', 'EM algorithm', 'PCA', 'multi-view feature averaging', 'covariance whitening', 'semi-supervised learning']",7,no,"This program implements a transductive class-conditional Gaussian mixture classifier to improve classification performance by modeling intra-class multimodality. It leverages a small mixture of components initialized from labeled samples and refined using unlabeled data through a conservative EM algorithm. The approach incorporates covariance whitening and PCA for feature extraction, along with multi-view feature averaging to enhance stability. The implementation is designed to work with a frozen DINOv2 backbone for feature extraction.",True,False,5703,157,5860,0.0069641,DINOv2 only,"['gaussian em', 'gaussian mixture modeling', 'multi view feature extract', 'pca / whitening', 'semi-supervised learning', 'transductive learning']",6
0031_b3f771a8,program_step0031_b3f771a8.py,eval_step0031_b3f771a8.json,0.5882978723404255,"['ViT', 'DINOv2']","['self-training', 'metric learning', 'pseudo-labeling', 'label smoothing', 'multi-view augmentation', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 for feature extraction. It employs self-training with pseudo-labeling to leverage unlabeled data, alongside metric learning for feature projection. The model is fine-tuned using a linear classifier with label smoothing and multi-view augmentations to improve performance on classification tasks.",True,False,5699,135,5834,0.006862900000000001,DINOv2 only,"['label smoothing', 'metric learning', 'multi view augmentation', 'parameter efficient finetuning', 'pseudo-labeling', 'self training']",6
0032_2db5cca3,program_step0032_2db5cca3.py,eval_step0032_2db5cca3.json,0.5670212765957446,"['DINOv2', 'CLIP']","['transductive mixture-of-experts', 'kNN classification', 'covariance shrinkage', 'MiniBatchKMeans', 'multi-view feature extraction', 'soft class anchors', 'cross-backbone fusion']",7,no,"This program implements a transductive mixture-of-experts classifier using two frozen backbone models, DINOv2 and CLIP, to leverage complementary visual and semantic features. It extracts multi-view features and applies a nonparametric classification approach using kNN and soft class anchors derived from unlabeled data. The method focuses on efficient feature extraction and decision geometry reshaping without training heavy parametric heads, making it suitable for scenarios with limited labeled data.",True,True,5299,165,5464,0.006554900000000001,Both,"['covariance shrinkage', 'cross backbone fusion', 'knn classification', 'minibatchkmeans', 'multi view feature extract', 'soft class anchors', 'transductive mixture of experts']",7
0033_abafd147,program_step0033_abafd147.py,eval_step0033_abafd147.json,0.6111702127659574,"['DINOv2', 'ViT']","['transductive learning', 'Gaussian classifier', 'PLS', 'covariance adaptation', 'multi-view averaging', 'soft assignments', 'variance adaptation']",7,yes,"The program implements a transductive class-conditional covariance Gaussian classifier using a compact supervised subspace learned by regularized Partial Least Squares (PLS). It adapts class variances and priors using unlabeled data while retaining frozen DINOv2 features for strong representation quality. The approach is designed to be data-efficient, particularly for texture categories, by leveraging only a few labeled samples per class.",True,False,5025,145,5170,0.0061655,DINOv2 only,"['covariance adaptation', 'gaussian classifier', 'multi view augmentation', 'pls', 'soft assignments', 'transductive learning']",6
0034_94fb47aa,program_step0034_94fb47aa.py,eval_step0034_94fb47aa.json,0.23404255319148937,"['CLIP', 'DINOv2']","['dual-backbone', 'class-balanced weighting', 'Laplacian regularization', 'deterministic multi-view averaging', 'regularized LDA', 'weighted cross-entropy', 'entropy minimization']",7,yes,This program implements a dual-backbone classification approach using CLIP and DINOv2 for texture recognition. It combines features from both models to enhance robustness while avoiding expensive finetuning. The method employs a Laplacian-regularized logistic regression classifier with a focus on class balance and smoothness over labeled and unlabeled data. The training strategy emphasizes data efficiency and stability through techniques like multi-view averaging and regularized LDA.,True,True,4884,162,5046,0.0060852000000000015,Both,"['class balanced nca', 'consistency regularization', 'cross entropy loss', 'deterministic multi view feature averaging', 'dual backbone', 'entropy minimization', 'regularized lda']",7
0035_c77976bb,program_step0035_c77976bb.py,eval_step0035_c77976bb.json,0.5047872340425532,['DINOv2'],"['transductive semi-supervised learning', 'Laplacian regularization', 'multi-view feature extraction', 'whitening', 'kNN graph', 'cross-entropy loss', 'entropy minimization', 'Laplacian smoothness', 'AdamW optimization', 'prototype classification']",10,yes,"The program implements a semi-supervised learning approach using a frozen DINOv2 backbone to classify images. It combines a Laplacian-regularized logistic regression with a prototype classifier to leverage both labeled and unlabeled data effectively. The method includes multi-view feature extraction, whitening for improved feature quality, and a kNN graph for enforcing smoothness in predictions. The final model is an ensemble of the linear classifier and prototype classifier, aimed at enhancing classification performance with limited labeled data.",True,False,5048,185,5233,0.006366800000000001,DINOv2 only,"['adamw optimizer', 'consistency regularization', 'cosine prototype classifier', 'cross entropy loss', 'entropy minimization', 'label propagation / graph methods', 'laplacian smoothness', 'multi view feature extract', 'pca / whitening', 'semi-supervised learning']",10
0036_00ddfe48,program_step0036_00ddfe48.py,eval_step0036_00ddfe48.json,0.5601063829787234,['DINOv2'],"['transductive Gaussian-mixture classifier', 'supervised whitening', 'Dirichlet prior correction', 'covariance adaptation', 'transductive EM', 'multi-view feature extraction']",6,yes,"This program implements a transductive Gaussian-mixture classifier using a frozen DINOv2 backbone for a semi-supervised learning task. It focuses on adapting the model to unlabeled data through a novel approach that includes supervised whitening and Dirichlet prior correction. The method aims to improve classification accuracy on a challenging texture dataset by modeling per-class spread and ensuring balanced class priors. The program efficiently processes features without retraining the backbone, leveraging a small labeled dataset alongside a larger unlabeled set.",True,False,4703,166,4869,0.0059037000000000004,DINOv2 only,"['covariance adaptation', 'dirichlet prior correction', 'multi view feature extract', 'supervised whitening', 'transductive gaussian mixture classifier', 'transductive learning']",6
0037_3a185d54,program_step0037_3a185d54.py,eval_step0037_3a185d54.json,0.5851063829787234,"['DINOv2', 'ViT']","['transductive Gaussian mixture classifier', 'PCA whitening', 'EM procedure', 'class-balance regularization', 'covariance adaptation', 'multi-view augmentation']",6,yes,"The program implements a semi-supervised classification agent that utilizes a transductive Gaussian mixture classifier in a PCA-whitened feature space. It leverages a small number of labeled examples and a larger set of unlabeled data to estimate class densities through an EM procedure, while applying various regularization techniques to maintain class balance. The model employs DINOv2 features and incorporates multi-view augmentations to enhance performance and stability.",True,False,4939,151,5090,0.0060973,DINOv2 only,"['class balance regularization', 'covariance adaptation', 'em procedure', 'multi view augmentation', 'pca / whitening', 'transductive gaussian mixture classifier']",6
0039_57b8c5d8,program_step0039_57b8c5d8.py,eval_step0039_57b8c5d8.json,0.6324468085106383,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'projector training', 'PCA', 'harmonic propagation', 'prototype densification', 'anchor selection', 'label smoothing']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations for both labeled and unlabeled data, trains a metric projector, and utilizes harmonic propagation for label propagation. The model is designed to enhance classification accuracy by leveraging both labeled and unlabeled samples through various techniques such as prototype densification and anchor selection.",True,False,5718,151,5869,0.006954200000000001,DINOv2 only,"['anchor selection', 'label propagation / graph methods', 'label smoothing', 'multi view augmentation', 'pca / whitening', 'projector training', 'prototype densification', 'semi-supervised learning']",8
0040_f8f88414,program_step0040_f8f88414.py,eval_step0040_f8f88414.json,0.65,"['DINOv2', 'ViT']","['transductive label propagation', 'class-balanced Laplacian adaptation', 'shrinkage whitening', 'PCA', 'kNN graph', 'cosine similarity', 'multi-view averaging', 'local evidence mixture']",8,yes,This program implements a semi-supervised learning approach using a frozen DINOv2 model as a feature extractor. It employs a transductive mechanism with class-balanced Laplacian prototype adaptation to improve label propagation and classification accuracy. The method includes techniques such as shrinkage whitening and PCA to stabilize feature geometry and reduce noise. The final predictions are made by combining scores from adapted prototypes and local evidence from unlabeled samples.,True,False,5511,161,5672,0.0067705000000000005,DINOv2 only,"['class balanced laplacian adaptation', 'cosine similarity', 'label propagation / graph methods', 'local evidence mixture', 'multi view augmentation', 'pca / whitening', 'supervised whitening']",7
0042_f4c8b71d,program_step0042_f4c8b71d.py,eval_step0042_f4c8b71d.json,0.5228723404255319,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'cosine head', 'whitening', 'spherical k-means', 'center supervision', 'Laplacian loss', 'consistency loss', 'entropy loss']",9,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and various loss functions, including consistency and Laplacian losses, to enhance model training. The model is trained on both labeled and unlabeled data, utilizing techniques like spherical k-means for clustering and center supervision for improved classification accuracy.",True,False,6046,158,6204,0.0073458,DINOv2 only,"['center supervision', 'consistency / multi-view', 'cosine head', 'cross entropy loss', 'laplacian smoothness', 'multi view augmentation', 'pca / whitening', 'semi-supervised learning', 'spherical k means']",9
0046_b8f70eda,program_step0046_b8f70eda.py,eval_step0046_b8f70eda.json,0.5180851063829788,"['ViT', 'DINOv2']","['transductive learning', 'multi-view augmentation', 'PCA', 'graph-based methods', 'pseudo-labeling', 'consistency regularization']",6,yes,This program implements a transductive learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It employs multi-view augmentations and graph-based methods to enhance the learning from both labeled and unlabeled data. The model utilizes PCA for dimensionality reduction and incorporates pseudo-labeling techniques to improve classification accuracy. The training process is designed to be efficient and effective in leveraging limited labeled data.,True,False,6332,149,6481,0.0076208000000000005,DINOv2 only,"['consistency regularization', 'graph based methods', 'multi view augmentation', 'pca / whitening', 'pseudo-labeling', 'transductive learning']",6
0048_70bff3b3,program_step0048_70bff3b3.py,eval_step0048_70bff3b3.json,0.33297872340425533,"['ViT', 'DINOv2']","['semi-supervised learning', 'mixup', 'label smoothing', 'consistency loss', 'pseudo-labeling', 'data augmentation', 'exponential moving average', 'self-supervised contrastive loss']",8,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 for image classification. It employs a combination of labeled and unlabeled data, utilizing techniques such as mixup, label smoothing, and consistency loss to enhance model performance. The training process includes an exponential moving average of model weights and a robust evaluation transform for inference.",True,False,5030,150,5180,0.006193000000000001,DINOv2 only,"['consistency / multi-view', 'exponential moving average', 'label smoothing', 'mixup', 'multi view augmentation', 'pseudo-labeling', 'semi-supervised learning', 'supervised contrastive learning']",8
0049_9d32ab27,program_step0049_9d32ab27.py,eval_step0049_9d32ab27.json,0.5058510638297873,"['DINOv2', 'ViT']","['self-supervised learning', 'transductive learning', 'Gaussian mixture model', 'PCA whitening', 'multi-view feature averaging', 'confidence-weighted updates', 'class-balance regularization']",7,yes,"This program implements a transductive class-conditional Gaussian-mixture classifier in a self-supervised whitening space, utilizing both labeled and unlabeled data. It replaces a previous LDA-based approach with a more robust method that adapts class covariances using confident unlabeled assignments. The program employs DINOv2 features and incorporates techniques like PCA whitening and multi-view feature averaging to enhance texture recognition. The goal is to improve classification accuracy, especially in scenarios with limited labeled data.",True,False,5078,170,5248,0.0063338000000000005,DINOv2 only,"['class balance regularization', 'confidence weighted updates', 'gaussian mixture modeling', 'multi view feature extract', 'pca / whitening', 'semi-supervised learning', 'transductive learning']",7
0050_52344537,program_step0050_52344537.py,eval_step0050_52344537.json,0.3840425531914894,"['ViT', 'DINOv2']","['semi-supervised learning', 'label propagation', 'multi-view augmentation', 'PCA whitening', 'soft cross-entropy', 'linear classification head', 'AdamW optimizer']",7,yes,"This program implements a semi-supervised learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It employs label propagation to leverage unlabeled data, multi-view augmentations for improved feature extraction, and a linear classification head for final predictions. The model is trained using a combination of labeled and pseudo-labeled data, optimizing the loss through a soft cross-entropy approach.",True,False,4314,151,4465,0.0054098,DINOv2 only,"['adamw optimizer', 'cross entropy loss', 'knn classification', 'label propagation / graph methods', 'multi view augmentation', 'pca / whitening', 'semi-supervised learning']",7
